Storage Interface,Colour,Screen Details,RAM Type,Removable Battery,RAM,Display Type,Weight,USB 3.1,Hard Drive RPM,USB 2.0,Touchscreen,Processor Brand,Webcam Resolution,Screen Resolution,Technologies,Input,Pointer Input,Processor,Adapter,Processor Details,Fingerprint Scanner,RJ45 LAN (Ethernet),Graphics Memory Type,Memory Slots,WiFi,Warranty,RAM Expandable Upto,Storage Type,Graphics Processor,2 in 1 Laptop (Convertible),HDMI,Bluetooth,VGA,Processor Clock Speed,Optical Drive,Video Recording,Warranty Details,Battery Type,Micro USB,Webcam,OS Version,Sales Package,Chipset,USB 3.0,Dimensions (mm),RAM Frequency,Cache,Keyboard,Secondary Storage Capacity,Storage Capacity,Mini DisplayPort,Lockport,Operating System,Battery Cell,Processor Model,Media Card Support,Speakers,Battery Capacity,Dedicated Graphics Memory,Warranty Type,USB Type C,Battery Life (Upto),SIM Card Slot,Screen Size
 SATA , Black , HD Anti-Glare LED Display , DDR4 ,, 4GB 6 / 10 , LED ,,, 5400 RPM ,, No , Intel ,, 1366 x 768 pixels 7 / 10 ,," Headphone Jack, Microphone Jack, Headphone + Microphone Combo Jack ", Trackpad , Intel Core i3 (7th Gen) 8 / 10 , 40 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , HDD , Intel HD Graphics 620 ,,," Yes, 4.0 ",, 2.3GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Ubuntu ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 380 x 260 x 23.6 , 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Linux , 4 Cell , 7020U ," SD, SDHC, SDXC ", Stereo speakers ,,,,,,, 15.6 inch 
 SATA , Black , HD Anti-Glare LED Display , DDR4 ,, 4GB 8 / 10 , LED , 2.1 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 7 / 10 ,," Microphone Jack, Headphone + Microphone Combo Jack, Headphone Jack ", Trackpad , Intel Celeron Dual Core 6 / 10 , 45 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, HDD , Intel HD Graphics ,,," Yes, 4.1 ",, 1.8GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 381 x 251 x 24.4 , 2133MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 4 Cell , 3865U ," SD, SDHC, SDXC ", Dual speakers ,,,,, 5 hours ,, 15.6 inch 
 SATA , Black , HD anti-glare LED-backlit display , DDR3 ,, 4GB 6 / 10 , LED , 2.2 kg ,, 5400 RPM ," Yes, 1 ", No , Intel , 1.3MP , 1366 x 768 pixels 8 / 10 , Two-channel High-definition audio ," Headphone Jack, Microphone Jack ", Trackpad , Intel Core i3 (6th Gen) 8 / 10 , 65 W ,, No ,,,2," Yes, 802.11 b/g/n ", 1 Year , Upto 16GB , HDD , Intel HD Graphics ,,," Yes, 4.0 ", Yes , 2.3GHz ," Yes, CD Writer ",,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 380 x 260 x 23.6 , 1600MHz ,, QWERTY + Numpad ,, 1TB 10 / 10 ,,, Windows , 3 Cell , 6100U ," SD, SDHC, SDXC ", Dell speakers ,,,,, 4 hours ,, 15.6 inch 
, Silver , Full HD LED Backlit Anti-Glare Infinity Edge Display , DDR4 ,, 16GB 10 / 10 , LED , 1.8 kg ,,,, No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i7 (8th Gen) 9 / 10 , 130 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, SSD , NVIDIA GeForce GTX 1050Ti ,,," Yes, 4.1 ",, 1.8GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",,, 357 x 235 x 17 , 2666MHz ,, QWERTY ,, 512GB 10 / 10 ,, Yes 10 / 10 , Windows , 6 Cell , 8750H ," SD, SDHC, SDXC ", Stereo speakers ,, 4GB Graphics ,,,,, 15.6 inch 
 SATA , Black , HD LED Backlit Anti-glare Display , DDR4 ,, 4GB 6 / 10 ,, 2.18 kg , No , 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 8 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Pentium Quad Core 6 / 10 ,,, No , Yes ,,1," Yes, IEEE 802.11ac ", 1 Year ,, HDD ,, No , Yes ," Yes, 4.1 ", No , 2.3GHz ," Yes, CD/DVD writer ",,,, No ," Yes, HD Webcam 10 / 10 ",,,," Yes, 2 ", 14.96 x 10.24 x 0.93 , 2400MHz , 2 MB , QWERTY + Numpad ,, 1TB 10 / 10 , No ,, Linux ,, 4415U ," SD, SDHC, SDXC ", Built-in Dual Speakers , 40 WHr ,, Onsite , No ,, No , 15.6 inch 
 SATA , Black , Full HD LED Backlit Anti-glare Display , DDR4 , Yes , 8GB 8 / 10 ,,, No , 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 7 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Core i5 (7th Gen) 9 / 10 , 130 W , Turbo Boost Upto 3.5 GHz , No , Yes , GDDR5 ,," Yes, IEEE 802.11ac ", 1 Year ,, HDD , AMD Radeon R7 M445 , No , Yes ," Yes, 4.1 ", No , 2.5GHz , Yes ,,,, No ," Yes, HD Webcam 10 / 10 ", Windows 10 ,,," Yes, 2 ",, 2400MHz , 6 MB ," Backlit, QWERTY + Numpad ",, 2TB 10 / 10 , No ,, Windows ,, 7300HQ ," SD, SDHC, MMC ", Stereo Speakers ,, 4GB Graphics , Onsite , No ,, No , 15.6 inch 
 SATA , Platinum SIlver , Full HD LED Backlit Anti-glare IPS Display , DDR4 ,, 8GB 8 / 10 ,, 1.4 kg ," Yes, 2 ",, No , No , Intel ,, 1920 x 1080 pixels 7 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Core i7 (8th Gen) 9 / 10 ,, Turbo Boost Upto 4 GHz , No , No , GDDR5 ,2," Yes, IEEE 802.11ac ", 1 Year , Upto 32GB , SSD , AMD Radeon 530 , No , Yes ," Yes, 4.1 ", No , 1.8GHz , No ,,,, No ," Yes, HD Webcam 10 / 10 ", Windows 10 ,,, No , 12.75 x 8.66 x 0.62 , 2400MHz , 8 MB ," Backlit, QWERTY ",, 256GB 9 / 10 , No ,, Windows ,, 8550U ," SD, SDHC, SDXC ", Built-in Dual Speakers ,, 2GB Graphics , Onsite , Yes ,, No , 13 inch 
 SATA , Black , HD Anti-Glare LED Display , DDR4 ,, 4GB 6 / 10 , LED , 2.18 kg ,, 5400 RPM ,, No , Intel ,, 1366 x 768 pixels 8 / 10 ,," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i3 (7th Gen) 8 / 10 , 45 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, HDD , Intel HD Graphics 620 ,,," Yes, 4.1 ",, 2.3GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 ,," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 381.6 x 254 x 22.4 , 2133MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , DOS , 4 Cell , 7020U ," SD, SDHC, SDXC ", Dual speakers ,,,,, 5 hours ,, 15.6 inch 
 SATA , Gray , Full HD LED Backlit Anti Glare Display , DDR4 , Yes , 8GB 8 / 10 ,, 2.36 kg , No , 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 7 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Core i5 (7th Gen) 9 / 10 ,, Turbo Boost Upto 3.1 GHz , No , No , GDDR5 ,," Yes, IEEE 802.11ac ", 1 Year ,, HDD , AMD Radeon R7 M445 , No , Yes ," Yes, 4.2 ", No , 2.5GHz , Yes ,,,, No ," Yes, 0.9 MP 10 / 10 ", Windows 10 ,,," Yes, 2 ", 15.35 x 10.20 x 0.92 , 2400MHz , 3 MB ," Backlit, QWERTY + Numpad ",, 1TB 10 / 10 , No ,, Windows ,,7200," SD, SDHC, SDXC ", 2 Tuned Speakers with Waves MaxxAudio Processing ,, 4GB Graphics , Carry in , No , 6 hours , No , 15.6 inch 
 SATA , Black , Full HD LED Backlit IPS Display , DDR4 ,, 8GB 8 / 10 , LED , 2.4 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 7 / 10 ,," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i5 (7th Gen) 9 / 10 , 41 W ,, No ,,,1," Yes, 802.11 a/b/g/n ", 1 Year ,, HDD , AMD Radeon R5 M430 ,,," Yes, 4.1 ",, 2.5GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 378 x 261 x 25.4 , 2133MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 3 Cell , 7200U ," SD, SDHC, SDXC ", Dual speakers ,, 2GB Graphics ,,,,, 15.6 inch 
 SATA , Era Gray , Full HD LED Backlit Anti-glare IPS Touch Display , DDR4 ,, 16GB 10 / 10 ,, 1.45 kg , Yes ,, No , Yes , Intel ,, 1920 x 1080 pixels 7 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Core i7 (8th Gen) 10 / 10 ,, Turbo Boost Upto 4 GHz , No , No ,,," Yes, IEEE 802.11ac ", 1 Year ,, SSD , Intel HD Graphics 620 , Yes , Yes ," Yes, 4.2 ", No , 1.8GHz , No ,,,, No , Yes 10 / 10 , Windows 10 ,,, No , 12.19 x 8.49 x 0.61 , 2133MHz , 8 MB ," Backlit, QWERTY ",, 512GB 10 / 10 , No ,, Windows ,, 8550U ," SD, SDHC, SDXC ", Built-in Speakers ,,, Onsite , Yes ,, No , 13.3 inch 
 SATA , Black , Full HD LED Backlit IPS Display , DDR4 ,, 4GB 7 / 10 , LED , 2.1 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 7 / 10 ,," Headphone + Microphone Combo Jack, Headphone Jack, Microphone Jack ", Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 65 W ,, No ,,,1," Yes, 802.11 b/g/n ", 1 Year ,, HDD , AMD Radeon 530 ,,," Yes, 4.1 ",, 1.6GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 ,," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 380 x 260 x 23.7 , 2133MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Linux , 4 Cell , 8250U ," SD, SDHC, SDXC ", Dual speakers ,, 2GB Graphics ,,, 4 hours ,, 15.6 inch 
 SATA , Black , HD Truelife LED-Backlit Display , DDR4 , Yes , 4GB 6 / 10 ,, 2.2 kg , No , 5400 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 8 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Core i3 (6th Gen) 8 / 10 , 45 W ,, No , Yes ,,," Yes, 802.11 b/g/n ", 1 Year ,, HDD , Intel HD Graphics 520 , No , Yes ," Yes, 4.0 ", Yes , 2GHz , Yes ,,,, No ," Yes, 0.9 10 / 10 ",,,," Yes, 2 ", 14.96 x 10.24 x 0.93 , 2400MHz , 3 MB , QWERTY + Numpad ,, 1TB 10 / 10 , No ,, DOS ,, 6006U ," SD, SDHC, SDXC ", 2 Tuned Speakers ,,, Onsite , No ,, No , 15.6 inch 
 SATA , Black , HD LED Backlit Display with Truelife , DDR3 , Yes , 4GB 6 / 10 ,, 2.2 kg ,, 5400 RPM ," Yes, 2 ", No , Intel ,, 1366 x 768 pixels 8 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Core i3 (5th Gen) 7 / 10 ,,, No , Yes , GDDR3 ,2, Yes , 1 Year ,, HDD , NVIDIA GeForce 920M ,," Yes, 1.4a ", Yes ,, 2.1GHz , Yes ,,,,, Yes 10 / 10 , Ubuntu ,,," Yes, 1 ", 14.96 x 10.23 x 0.85 , 1600MHz , 3 MB , QWERTY + Numpad ,, 1TB 10 / 10 ,,, Linux ,, 5015U ," SD, SDHC, SDXC "," Waves MaxxAudio Pro, 2 Speakers ",, 2GB Graphics ,,,,, 15.6 inch 
 SATA , Black , HD Anti-Glare LED Display , DDR4 ,, 4GB 7 / 10 , LED , 2.1 kg ,, 7200 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 6 / 10 ,," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 65 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , HDD , Intel HD Graphics 620 ,,," Yes, 4.1 ",, 1.6GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 8.1 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ",, 2133MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 4 Cell , 8250U ," SD, SDHC, SDXC ", Dual speakers ,,,,, 10 hours ,, 14 inch 
, Silver , Full HD LED Backlit Anti-Glare Infinity Edge Display , DDR4 ,, 8GB 8 / 10 , LED , 1.8 kg ,,,, No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i7 (8th Gen) 9 / 10 , 130 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, SSD , NVIDIA GeForce GTX 1050Ti ,,," Yes, 4.1 ",, 2.2GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",,, 357 x 235 x 17 , 2666MHz ,, QWERTY ,, 256GB 9 / 10 ,, Yes 10 / 10 , Windows , 3 Cell , 8750H ," SD, SDHC, SDXC ", Stereo speakers ,, 4GB Graphics ,,,,, 15.6 inch 
 SATA , Black , Full HD LED Backlit Wide Viewing Angles Truelife Touch Display , DDR4 ,, 8GB 8 / 10 ,, 1.6 kg ,, 5400 RPM ," Yes, 1 ", Yes , Intel ,, 1920 x 1080 pixels 7 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Core i5 (7th Gen) 8 / 10 ,,, No , Yes ,,2, Yes , 1 Year ,, HDD , Intel HD Graphics 520 , Yes , Yes , Yes ,, 2.5GHz ,,,,,, Yes 10 / 10 , Windows 10 ,,," Yes, 2 ", 12.76 x 8.82 x 0.80 , 2133MHz , 3 MB ," Backlit, QWERTY ",, 1TB 10 / 10 ,,, Windows ,, 7200U ," SD, SDHC, SDXC, MMC ", 2 Tuned Speakers ,,,,,,, 13.3 inch 
 SATA , Black , Full HD IPS LED Touch Screen Display , DDR4 ,, 4GB 7 / 10 , LED , 1.8 kg ,, 5400 RPM ,, Yes , Intel ,, 1920 x 1080 pixels 8 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Microphone Jack, Headphone + Microphone Combo Jack ", Trackpad , Intel Core i3 (7th Gen) 8 / 10 , 42 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , HDD , Intel HD Graphics 620 ,,," Yes, 4.1 ",, 2.4GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 324.8 x 224.4 x 19.5 , 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 3 Cell , 7100U ," SD, SDHC, SDXC ", Stereo speakers ,,,,,,, 13 inch 
 SATA , Black , HD Anti-Glare LED Display , DDR4 ,, 4GB 7 / 10 , LED , 2.1 kg ,, 7200 RPM ," Yes, 1 ", No , Intel ,, 1366 x 768 pixels 6 / 10 ,," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 65 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , HDD , Intel HD Graphics 620 ,,," Yes, 4.1 ",, 1.6GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Ubuntu ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ",, 2133MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Linux , 4 Cell , 8250U ," SD, SDHC, SDXC ", Dual speakers ,,,,, 10 hours ,, 14 inch 
 SATA , Silver , Full HD LED Backlit Anti-glare Display , DDR4 ,, 8GB 8 / 10 , LED , 1.67 kg ,, 5400 RPM ,, No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone + Microphone Combo Jack, Microphone Jack, Headphone Jack ", Trackpad , Intel Core i5 (8th Gen) 8 / 10 , 42 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , SSD , AMD Radeon 530 ,,," Yes, 4.2 ",, 1.6GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 343 x 240.8 x 16.1 , 2400MHz ,, QWERTY ,, 256GB 9 / 10 ,, No , Windows , 3 Cell , 8250U ," SD, SDHC, SDXC ", Stereo speakers ,, 4GB Graphics ,,,,, 14 inch 
 SATA , Grey , Full HD LED Backlit Anti Glare Display , DDR4 ,, 4GB 7 / 10 , LED , 2.3 kg ,, 5400 RPM ," Yes, 1 ", No , Intel , 0.3MP , 1920 x 1080 pixels 7 / 10 , HD Audio Solution ," Headphone Jack, Microphone Jack ", Trackpad , Intel Core i5 (7th Gen) 9 / 10 ,,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, HDD , AMD Radeon R7 M445 ,,," Yes, 4.2 ",, 2.5GHz ," Yes, CD Writer ",,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 390 x 259 x 23.3 , 2400MHz ,," Backlit, QWERTY + Numpad ",, 1TB 10 / 10 ,, Yes 10 / 10 , Windows , 3 Cell , 7200U ," SD, SDHC, SDXC ", 2 Tuned Speakers ,, 2GB Graphics ,,, 6 hours ,, 15.6 inch 
, Silver , Full HD LED Backlit Anti-Glare Infinity Edge Display , DDR4 ,, 16GB 9 / 10 , LED , 1.8 kg ,,,, No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i7 (8th Gen) 9 / 10 , 130 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, SSD , NVIDIA GeForce GTX 1050Ti ,,," Yes, 4.1 ",, 2.2GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",,, 357 x 235 x 17 , 2400MHz ,, QWERTY ,, 256GB 9 / 10 ,, Yes 10 / 10 , Windows , 3 Cell , 8750H ," SD, SDHC, SDXC ", Stereo speakers ,, 4GB Graphics ,,,,, 15.6 inch 
 SATA , Black , HD LED Backlit Display with Truelife , DDR3 ,, 4GB 7 / 10 , LED , 2.3 kg ,, 5400 RPM ,, No , Intel ,, 1366 x 768 pixels 6 / 10 , HD Audio Solution ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i5 (6th Gen) 8 / 10 , 40 W ,, No ,,,2," Yes, 802.11 a/b/g/n/ac ",, Upto 16GB , HDD , Intel HD Graphics 520 ,,," Yes, 4.0 ",, 2.3GHz ," Yes, Tray load DVD Drive (Reads and Writes to DVD/CD) ", 720p HD ,2, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 380 x 260 x 23.7 , 1600MHz ,, QWERTY + Numpad ,, 1TB 10 / 10 ,, Yes 10 / 10 , Windows , 4 Cell , 6200U ," SD, SDHC, SDXC ", Stereo speakers ,,,,,,, 15.6 inch 
 SATA , Silver , Full HD LED Backlit Anti-glare Display , DDR4 ,, 8GB 8 / 10 , LED , 2.2 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Microphone Jack, Headphone + Microphone Combo Jack, Headphone Jack ", Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 45 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 32GB , HDD , Intel HD Graphics 620 ,,," Yes, 4.1 ", Yes , 1.6GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 380 x 258 x 22.7 , 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 3 Cell , 8250U ," SD, SDHC, SDXC ", Stereo speakers ,,,,,,, 15.6 inch 
 SATA , Pink Champagne , FHD IPS Truelife LED-Backlit Narrow Border Display , DDR4 ,, 8GB 8 / 10 , LED ,,, 5400 RPM ,, No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i5 (8th Gen) 8 / 10 , 42 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 32GB , SSD , NVIDIA GeForce 940MX ,,," Yes, 4.2 ",, 1.6GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 361.4 x 244.5 x 20.4 , 2400MHz ,, QWERTY ,, 128GB 8 / 10 ,, No , Windows , 3 Cell , 8250U ," SD, SDHC, SDXC ", Stereo speakers ,, 4GB Graphics ,,,,, 15.6 inch 
, Silver , 4K UHD LED Anti Glare Wide Screen Touch Screen Display , DDR4 ,, 32GB 10 / 10 , LED , 2.1 kg ,,,, Yes , Intel ,, 3840 x 2160 pixels 10 / 10 , Waves MaxxAudio Pro ," Headphone + Microphone Combo Jack, Microphone Jack, Headphone Jack ", Trackpad , Intel Core i9 (8th Gen) 10 / 10 , 97 W ,, No ,,,2," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, HDD , NVIDIA GeForce GTX 1050Ti ,,," Yes, 4.2 ",, 2.9GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",,, 357 x 235 x 17 , 2666MHz ,, QWERTY ,, 1TB 10 / 10 ,, Yes 10 / 10 , Windows , 6 Cell , 8950HK ," SD, SDHC, SDXC ", Stereo speakers ,, 4GB Graphics ,,,,, 15.6 inch 
 SATA , Black , FHD IPS Anti-Glare LED-Backlit Display , DDR4 ,, 16GB 9 / 10 , LED , 2.4 kg ,, 5400 RPM ,, No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i7 (8th Gen) 9 / 10 , 56 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, SSD , NVIDIA GeForce GTX 1050Ti ,,," Yes, 5.0 ",, 2.2GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 2 ", 380 x 258 x 22.7 , 2666MHz ,," QWERTY + Numpad, Backlit ",, 256GB 9 / 10 ,, No , Windows , 4 Cell , 8750H ," SD, SDHC, SDXC ", Two Tuned Speakers ,, 4GB Graphics ,,,,, 15.6 inch 
 SATA , Epic Silver , Full HD LED Backlit IPS Display with NVIDIA G-Sync Support , DDR4 ,, 32GB 10 / 10 , LED ,,, 7200 RPM ,, No , Intel ,, 1920 x 1080 pixels 7 / 10 , Alienware Sound Center & Audio Recon Software ," Headphone Jack, Microphone Jack, Headphone + Microphone Combo Jack ", Trackpad ,, 99 W ,, No ,,,2," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, HDD , NVIDIA GeForce GTX 1070 ,,, Yes ,, 2.9GHz , No , 1080p FHD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 1 ", 389 x 305 x 25.4 , 2666MHz ,," Backlit, QWERTY + Numpad ",, 1TB 10 / 10 ,, Yes 10 / 10 , Windows ,, 8950HK ," SD, SDHC, SDXC ", Dual speakers ,, 8GB Graphics ,,,,, 15.6 inch 
 SATA , Gray , Full HD LED Backlit IPS Truelife Display , DDR4 ,, 8GB 8 / 10 ,, 2 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 7 / 10 ,, Headphone + Microphone Combo Jack , Trackpad , Intel Core i5 (7th Gen) 9 / 10 ,, Turbo Boost Upto 3.1 GHz , No , Yes , GDDR5 ,1, Yes , 1 Year ,, HDD , NVIDIA GeForce 940MX , No , Yes , Yes , No , 2.5GHz , No ,,,, No , Yes 10 / 10 , Windows 10 ,,," Yes, 2 ",, 2400MHz , 3 MB ," Backlit, QWERTY + Numpad ",, 1TB 10 / 10 , No ,, Windows ,, 7200U ," SD, MMC ", 2 Tuned Speakers with Waves MaxxAudio Processing ,, 4GB Graphics , Onsite , No ,, No , 15.6 inch 
 SATA , Black , FHD IPS Anti-Glare LED-Backlit Display , DDR4 ,, 16GB 9 / 10 , LED ,,, 5400 RPM ,, No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Headphone + Microphone Combo Jack, Microphone Jack ", Trackpad , Intel Core i7 (8th Gen) 9 / 10 , 56 W ,, No ,,,2," Yes, 802.11 a/b/g/n/ac ", 1 Year ,, SSD , NVIDIA GeForce GTX 1060 ,,," Yes, 5.0 ",, 2.2GHz , No , 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 3 ", 389 x 274.7 x 24.9 , 2666MHz ,, QWERTY + Numpad ,, 128GB 8 / 10 ,, Yes 10 / 10 , Windows , 4 Cell , 8750H ," SD, SDHC, SDXC ", Front Firing Speakers ,, 6GB Graphics ,,,,, 15.6 inch 
 SATA , Black , Diagonal FHD SVA Anti-Glare WLED-backlit Display , DDR4 ,, 4GB 7 / 10 , LED , 2.1 kg ,, 5400 RPM ," Yes, 1 ", No , Intel ,, 1920 x 1080 pixels 7 / 10 , Waves MaxxAudio Pro ," Headphone Jack, Microphone Jack, Headphone + Microphone Combo Jack ", Trackpad , Intel Core i5 (8th Gen) 9 / 10 , 40 W ,, No ,,,1," Yes, 802.11 a/b/g/n/ac ", 1 Year , Upto 16GB , HDD , AMD Radeon 520 ,,," Yes, 4.1 ",, 1.6GHz ," Yes, DVD Writer ", 720p HD ,, Li-Ion ,, Yes 10 / 10 , Windows 10 ," Laptop, Power Adapter & Cable, Quick Start Guide ",," Yes, 1 ", 380 x 260.3 x 23.6 , 2400MHz ,, QWERTY ,, 1TB 10 / 10 ,, No , Windows , 4 Cell , 8250U ," SD, SDHC, SDXC ", Dual speakers ,, 2GB Graphics ,,,,, 15.6 inch 
